1571827152.934596	localhost	17519/14	-	visit-example.com.yahoo.config.subscription.ConfigSourceSet	info	Using config sources from VESPA_CONFIG_SOURCES: localhost:19090
1571827152.968243	localhost	17519/14	-	visit-example.com.yahoo.vespa.config.JRTConnectionPool	debug	Choosing new connection: Address: tcp/localhost:19090
1571827153.024245	localhost	17519/14	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Requesting config for name=documentmanager,namespace=document.config,configId=client, Current generation: 0, Generation changed: false, Config changed: false on connection Address: tcp/localhost:19090 with RPC timeout 60.0
1571827153.088690	localhost	17519/19	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Request callback valid. Req: request='name=documentmanager,namespace=document.config,configId=client,localhost,,0,55000,Optional[7.125.11]'\nresponse='f17ee0fd82607501b2202c2671b79da4,2,false'\n\nSpec: Address: tcp/localhost:19090
1571827153.112416	localhost	17519/14	-	visit-example.com.yahoo.vespa.config	debug	rootBuilder=com.yahoo.document.config.DocumentmanagerConfig$Builder@64cc0e8c
1571827153.116343	localhost	17519/19	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	My timing values: TimingValues [successTimeout=600000, errorTimeout=20000, initialTimeout=15000, subscribeTimeout=55000, configuredErrorTimeout=-1, fixedDelay=5000, unconfiguredDelay=1000, configuredErrorDelay=15000, maxDelayMultiplier=10, rand=java.util.Random@225ab73]
1571827153.123251	localhost	17519/19	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Scheduling new request 4427 millis from now for name=documentmanager,namespace=document.config,configId=client
1571827153.183659	localhost	17519/14	-	visit-example.com.yahoo.document.DocumentTypeManagerConfigurer	debug	Configuring document manager with 4 data types.
1571827153.232059	localhost	17519/14	-	visit-example.com.yahoo.vespa.config.JRTConnectionPool	debug	Choosing new connection: Address: tcp/localhost:19090
1571827153.232840	localhost	17519/14	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Requesting config for name=slobroks,namespace=cloud.config,configId=admin/slobrok.0, Current generation: 0, Generation changed: false, Config changed: false on connection Address: tcp/localhost:19090 with RPC timeout 60.0
1571827153.240202	localhost	17519/24	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Request callback valid. Req: request='name=slobroks,namespace=cloud.config,configId=admin/slobrok.0,localhost,,0,55000,Optional[7.125.11]'\nresponse='443cf61c824db005de593e6909628ba3,2,false'\n\nSpec: Address: tcp/localhost:19090
1571827153.241456	localhost	17519/24	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	My timing values: TimingValues [successTimeout=600000, errorTimeout=20000, initialTimeout=15000, subscribeTimeout=55000, configuredErrorTimeout=-1, fixedDelay=5000, unconfiguredDelay=1000, configuredErrorDelay=15000, maxDelayMultiplier=10, rand=java.util.Random@e5b5f7c]
1571827153.242004	localhost	17519/24	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Scheduling new request 4466 millis from now for name=slobroks,namespace=cloud.config,configId=admin/slobrok.0
1571827153.245245	localhost	17519/14	-	visit-example.com.yahoo.vespa.config	debug	rootBuilder=com.yahoo.cloud.config.SlobroksConfig$Builder@4bc1d5b3
1571827153.366691	localhost	17519/14	-	visit-example.com.yahoo.vespa.config.JRTConnectionPool	debug	Choosing new connection: Address: tcp/localhost:19090
1571827153.367612	localhost	17519/14	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Requesting config for name=messagebus,namespace=messagebus,configId=client, Current generation: 0, Generation changed: false, Config changed: false on connection Address: tcp/localhost:19090 with RPC timeout 60.0
1571827153.380334	localhost	17519/36	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Request callback valid. Req: request='name=messagebus,namespace=messagebus,configId=client,localhost,,0,55000,Optional[7.125.11]'\nresponse='9a8ff4f67f1a3ee66800d733e9c8e26f,2,false'\n\nSpec: Address: tcp/localhost:19090
1571827153.382478	localhost	17519/36	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	My timing values: TimingValues [successTimeout=600000, errorTimeout=20000, initialTimeout=15000, subscribeTimeout=55000, configuredErrorTimeout=-1, fixedDelay=5000, unconfiguredDelay=1000, configuredErrorDelay=15000, maxDelayMultiplier=10, rand=java.util.Random@355641b7]
1571827153.383002	localhost	17519/36	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Scheduling new request 4494 millis from now for name=messagebus,namespace=messagebus,configId=client
1571827153.384981	localhost	17519/14	-	visit-example.com.yahoo.vespa.config	debug	rootBuilder=com.yahoo.messagebus.MessagebusConfig$Builder@e4a3563
1571827153.429309	localhost	17519/14	-	visit-example.com.yahoo.documentapi.VisitorIterator	debug	Importing unfinished progress token with bits: 1, active: 0, pending: 0, cursor: 0, finished: 0, total: 2
1571827153.434321	localhost	17519/14	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: attempting transition to state WORKING: 
1571827153.435412	localhost	17519/14	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	Session 'visitor-1-1571827153401' is now in state WORKING: 
1571827153.465859	localhost	17519/39	-	visit-example.com.yahoo.vespa.config.JRTConnectionPool	debug	Choosing new connection: Address: tcp/localhost:19090
1571827153.467298	localhost	17519/39	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Requesting config for name=stor-distribution,namespace=vespa.config.content,configId=music, Current generation: 0, Generation changed: false, Config changed: false on connection Address: tcp/localhost:19090 with RPC timeout 60.0
1571827153.478646	localhost	17519/42	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Request callback valid. Req: request='name=stor-distribution,namespace=vespa.config.content,configId=music,localhost,,0,55000,Optional[7.125.11]'\nresponse='db0292237f625c4d2f373e4a9846ead5,2,false'\n\nSpec: Address: tcp/localhost:19090
1571827153.480739	localhost	17519/42	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	My timing values: TimingValues [successTimeout=600000, errorTimeout=20000, initialTimeout=15000, subscribeTimeout=55000, configuredErrorTimeout=-1, fixedDelay=5000, unconfiguredDelay=1000, configuredErrorDelay=15000, maxDelayMultiplier=10, rand=java.util.Random@4391523b]
1571827153.481382	localhost	17519/42	-	visit-example.com.yahoo.config.subscription.impl.JRTConfigRequester	debug	Scheduling new request 4338 millis from now for name=stor-distribution,namespace=vespa.config.content,configId=music
1571827153.491236	localhost	17519/39	-	visit-example.com.yahoo.vespa.config	debug	rootBuilder=com.yahoo.vespa.config.content.StorDistributionConfig$Builder@69c1bddb
1571827153.512615	localhost	17519/39	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Registering version handler 'com.yahoo.messagebus.network.rpc.RPCNetwork$SendContext@18c66f0c' for target 'tcp/localhost:19112'.
1571827153.513399	localhost	17519/39	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Invoking mbus.getVersion() on target 'tcp/localhost:19112'
1571827153.515375	localhost	17519/39	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x0400000000000000) with progress BucketId(0x0000000000000000)
1571827153.516541	localhost	17519/39	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Registering version handler 'com.yahoo.messagebus.network.rpc.RPCNetwork$SendContext@14bfc585' for target 'tcp/localhost:19112'.
1571827153.517008	localhost	17519/39	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x0400000000000001) with progress BucketId(0x0000000000000000)
1571827153.518777	localhost	17519/29	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Target 'tcp/localhost:19112' has version 7.125.11.
1571827153.588026	localhost	17519/45	-	visit-example.com.yahoo.messagebus.SendProxy	debug	Trace for reply with error(s):\n<trace>\n    [1571827153.500] Running routing policy 'Storage'.\n    [1571827153.500] Selecting route\n    [1571827153.500] No cluster state cached. Sending to random distributor.\n    [1571827153.500] Too few nodes seen up in state. Sending totally random.\n    <fork>\n        <trace>\n            [1571827153.506] Component 'tcp/localhost:19112/default' selected by policy 'Storage'.\n            [1571827153.506] Resolving 'tcp/localhost:19112/default'.\n            <trace>\n                [1571827153.545] Sending message (version 7.125.11) from client to 'tcp/localhost:19112/default' with 299.919 seconds timeout.\n                <trace>\n                    [1571827153.548559] Message (type 100007) received at 'storage/cluster.music/distributor/0' for session 'default'.\n                    [1571827153.548663] music/distributor/0 CommunicationManager: Received message from message bus\n                    [1571827153.549105] Communication manager: Sending CreateVisitorReply(last=BucketId(0x0000000000000000))\n                    [1571827153.549132] [UNKNOWN(151002) @ localhost]: version:3 bits:8 distributor:1 storage:1\n                    [1571827153.549241] Sending reply (version 7.125.11) from 'storage/cluster.music/distributor/0'.\n                </trace>\n                [1571827153.574] Reply (type 201000) received at client.\n            </trace>\n        </trace>\n    </fork>\n    [1571827153.574] Routing policy 'Storage' merging replies.\n    <trace>\n        [1571827153.583] Message sent to * with no previous state, received version 3\n    </trace>\n</trace>\n
1571827153.588026	localhost	17519/46	-	visit-example.com.yahoo.messagebus.SendProxy	debug	Trace for reply with error(s):\n<trace>\n    [1571827153.516] Running routing policy 'Storage'.\n    [1571827153.516] Selecting route\n    [1571827153.516] No cluster state cached. Sending to random distributor.\n    [1571827153.516] Too few nodes seen up in state. Sending totally random.\n    <fork>\n        <trace>\n            [1571827153.516] Component 'tcp/localhost:19112/default' selected by policy 'Storage'.\n            [1571827153.516] Resolving 'tcp/localhost:19112/default'.\n            <trace>\n                [1571827153.546] Sending message (version 7.125.11) from client to 'tcp/localhost:19112/default' with 299.97 seconds timeout.\n                <trace>\n                    [1571827153.548721] Message (type 100007) received at 'storage/cluster.music/distributor/0' for session 'default'.\n                    [1571827153.548787] music/distributor/0 CommunicationManager: Received message from message bus\n                    [1571827153.549340] Communication manager: Sending CreateVisitorReply(last=BucketId(0x0000000000000000))\n                    [1571827153.549350] [UNKNOWN(151002) @ localhost]: version:3 bits:8 distributor:1 storage:1\n                    [1571827153.549443] Sending reply (version 7.125.11) from 'storage/cluster.music/distributor/0'.\n                </trace>\n                [1571827153.574] Reply (type 201000) received at client.\n            </trace>\n        </trace>\n    </fork>\n    [1571827153.574] Routing policy 'Storage' merging replies.\n    <trace>\n        [1571827153.583] Message sent to * with no previous state, received version 3\n    </trace>\n</trace>\n
1571827153.594043	localhost	17519/39	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: received error reply for bucket BucketId(0x0400000000000001) with message 'WRONG_DISTRIBUTION: version:3 bits:8 distributor:1 storage:1'
