model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 T-Roc,2019,25000,Automatic,13904,Diesel,145,49.6,2.0
 T-Roc,2019,26883,Automatic,4562,Diesel,145,49.6,2.0
 T-Roc,2019,20000,Manual,7414,Diesel,145,50.4,2.0
 T-Roc,2019,33492,Automatic,4825,Petrol,145,32.5,2.0
 T-Roc,2019,22900,Semi-Auto,6500,Petrol,150,39.8,1.5
 T-Roc,2020,31895,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2020,27895,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2020,39495,Semi-Auto,10,Petrol,145,32.5,2.0
 T-Roc,2019,21995,Manual,10,Petrol,145,44.1,1.0
 T-Roc,2019,23285,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2019,23985,Semi-Auto,10,Petrol,145,39.8,1.5
 T-Roc,2019,23585,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2020,25785,Semi-Auto,10,Petrol,145,39.8,1.5
 T-Roc,2019,23995,Semi-Auto,1069,Petrol,145,39.8,1.5
 T-Roc,2018,17495,Manual,21645,Petrol,145,53.3,1.5
 T-Roc,2018,21495,Manual,16972,Petrol,145,53.3,1.5
 T-Roc,2018,18995,Manual,15100,Petrol,145,44.1,1.0
 T-Roc,2018,18995,Manual,1380,Petrol,150,55.4,1.0
 T-Roc,2019,33785,Semi-Auto,2500,Petrol,145,32.5,2.0
 T-Roc,2020,23790,Semi-Auto,5000,Petrol,145,39.8,1.5
 T-Roc,2019,19995,Manual,12300,Petrol,145,42.2,1.5
 T-Roc,2020,21690,Manual,2500,Petrol,145,44.1,1.0
 T-Roc,2019,23290,Manual,5540,Petrol,145,42.2,1.5
 T-Roc,2019,24790,Manual,3500,Petrol,145,42.2,1.5
 T-Roc,2018,19995,Manual,16251,Petrol,145,53.3,1.5
 T-Roc,2019,20290,Manual,5127,Petrol,145,42.2,1.5
 T-Roc,2019,33990,Semi-Auto,3500,Petrol,145,32.5,2.0
 T-Roc,2018,17685,Manual,22584,Petrol,145,44.1,1.0
 T-Roc,2020,24495,Manual,1955,Diesel,150,50.4,2.0
 T-Roc,2018,17995,Manual,10456,Petrol,150,55.4,1.0
 T-Roc,2020,28290,Semi-Auto,2500,Petrol,145,39.8,1.5
 T-Roc,2018,17495,Manual,6908,Petrol,145,55.4,1.0
 T-Roc,2019,22990,Manual,7216,Diesel,145,50.4,1.6
 T-Roc,2019,22995,Manual,4003,Diesel,145,46.3,2.0
 T-Roc,2019,21498,Manual,5,Diesel,150,50.4,1.6
 T-Roc,2018,17995,Manual,14837,Petrol,145,53.3,1.5
 T-Roc,2018,17995,Manual,14337,Petrol,145,53.3,1.5
 T-Roc,2019,22230,Manual,3392,Diesel,145,50.4,2.0
 T-Roc,2018,18695,Manual,6753,Petrol,145,53.3,1.5
 T-Roc,2019,25990,Semi-Auto,2423,Diesel,145,49.6,2.0
 T-Roc,2018,18695,Manual,6753,Petrol,145,53.3,1.5
 T-Roc,2019,23999,Manual,4224,Petrol,145,42.2,1.5
 T-Roc,2019,24490,Manual,6144,Diesel,145,50.4,2.0
 T-Roc,2019,24490,Manual,5345,Diesel,145,50.4,2.0
 T-Roc,2019,25990,Semi-Auto,4233,Diesel,145,49.6,2.0
 T-Roc,2018,17995,Manual,14837,Petrol,145,53.3,1.5
 T-Roc,2018,17995,Manual,14337,Petrol,145,53.3,1.5
 T-Roc,2019,23999,Semi-Auto,5027,Petrol,145,39.8,1.5
 T-Roc,2019,22230,Manual,3392,Diesel,145,50.4,2.0
 T-Roc,2019,23999,Manual,2520,Petrol,145,42.2,1.5
 T-Roc,2019,36799,Automatic,3028,Petrol,145,32.5,2.0
 T-Roc,2018,22990,Manual,9048,Petrol,145,53.3,1.5
 T-Roc,2018,20995,Manual,7621,Petrol,145,53.3,1.5
 T-Roc,2019,21995,Manual,4387,Diesel,145,50.4,1.6
 T-Roc,2018,17995,Manual,10826,Petrol,150,55.4,1.0
 T-Roc,2018,19450,Manual,10823,Petrol,145,53.3,1.5
 T-Roc,2019,20998,Manual,10,Diesel,145,50.4,1.6
 T-Roc,2020,27990,Manual,322,Diesel,145,50.4,2.0
 T-Roc,2019,22900,Manual,8249,Diesel,145,50.4,1.6
 T-Roc,2018,16990,Manual,33555,Petrol,145,53.3,1.5
 T-Roc,2019,21998,Manual,10,Diesel,145,50.4,2.0
 T-Roc,2019,25990,Semi-Auto,2423,Diesel,145,49.6,2.0
 T-Roc,2019,24490,Manual,6144,Diesel,145,50.4,2.0
 T-Roc,2019,24490,Manual,5345,Diesel,145,50.4,2.0
 T-Roc,2019,25990,Semi-Auto,4233,Diesel,145,49.6,2.0
 T-Roc,2018,18995,Manual,10990,Petrol,145,53.3,1.5
 T-Roc,2018,18495,Manual,10398,Petrol,145,53.3,1.5
 T-Roc,2018,18595,Manual,6482,Diesel,145,50.4,1.6
 T-Roc,2018,17195,Manual,19578,Petrol,145,55.4,1.0
 T-Roc,2019,31995,Semi-Auto,1000,Petrol,145,32.5,2.0
 T-Roc,2019,31995,Semi-Auto,1000,Petrol,145,32.5,2.0
 T-Roc,2018,18595,Manual,6482,Diesel,145,50.4,1.6
 T-Roc,2018,17195,Manual,19578,Petrol,145,55.4,1.0
 T-Roc,2018,18495,Manual,10398,Petrol,145,53.3,1.5
 T-Roc,2018,20498,Manual,21081,Petrol,145,53.3,1.5
 T-Roc,2019,21995,Semi-Auto,1045,Diesel,145,49.6,2.0
 T-Roc,2019,22495,Semi-Auto,3779,Diesel,145,49.6,2.0
 T-Roc,2019,31495,Semi-Auto,1790,Petrol,145,32.5,2.0
 T-Roc,2019,21495,Manual,2000,Petrol,145,42.2,1.5
 T-Roc,2018,18995,Manual,6884,Petrol,145,53.3,1.5
 T-Roc,2019,32998,Semi-Auto,1566,Petrol,150,32.5,2.0
 T-Roc,2019,19798,Manual,10535,Petrol,145,42.2,1.5
 T-Roc,2019,21998,Manual,6187,Diesel,145,50.4,2.0
 T-Roc,2019,19695,Manual,7000,Diesel,145,50.4,1.6
 T-Roc,2019,21998,Manual,6712,Diesel,145,46.3,2.0
 T-Roc,2018,20998,Manual,12043,Petrol,145,53.3,1.5
 T-Roc,2019,21495,Manual,100,Petrol,145,42.2,1.5
 T-Roc,2019,21095,Manual,6000,Diesel,145,50.4,1.6
 T-Roc,2019,24495,Semi-Auto,5773,Diesel,150,49.6,2.0
 T-Roc,2018,19489,Manual,7389,Petrol,145,53.3,1.5
 T-Roc,2018,21489,Manual,16775,Petrol,145,53.3,1.5
 T-Roc,2020,20989,Manual,3800,Diesel,150,50.4,1.6
 T-Roc,2019,19950,Manual,6000,Petrol,145,44.1,1.0
 T-Roc,2019,23950,Manual,4800,Diesel,145,46.3,2.0
 T-Roc,2018,20489,Manual,23385,Diesel,145,56.5,2.0
 T-Roc,2018,20998,Manual,16735,Petrol,145,53.3,1.5
 T-Roc,2018,16995,Manual,30214,Petrol,145,55.4,1.0
 T-Roc,2018,18995,Manual,15307,Petrol,145,53.3,1.5
 T-Roc,2018,18498,Manual,9128,Petrol,145,44.1,1.0
 T-Roc,2019,21498,Manual,14,Diesel,150,50.4,1.6
 T-Roc,2017,11489,Manual,17954,Petrol,150,60.1,1.0
 T-Roc,2019,32998,Semi-Auto,3167,Petrol,145,32.5,2.0
 T-Roc,2018,21991,Manual,9076,Petrol,145,53.3,1.5
