model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
 I20,2017,7999,Manual,17307,Petrol,145,58.9,1.2
 Tucson,2016,14499,Automatic,25233,Diesel,235,43.5,2.0
 Tucson,2016,11399,Manual,37877,Diesel,30,61.7,1.7
 I10,2016,6499,Manual,23789,Petrol,20,60.1,1.0
 IX35,2015,10199,Manual,33177,Diesel,160,51.4,2.0
 I10,2015,6149,Manual,41650,Petrol,20,60.1,1.0
 I20,2015,6799,Manual,39547,Petrol,30,55.4,1.2
 Tucson,2016,14199,Automatic,30300,Diesel,125,57.6,1.7
 I30,2018,10399,Automatic,38082,Petrol,145,51.4,1.4
 Tucson,2016,12163,Manual,21014,Diesel,30,61.7,1.7
 Tucson,2017,13200,Manual,22888,Diesel,150,61.7,1.7
 I30,2017,10000,Manual,20000,Petrol,150,56.5,1.0
 I20,2015,6900,Manual,26413,Petrol,30,55.4,1.2
 Tucson,2019,17750,Manual,10000,Petrol,150,34.9,1.6
 Tucson,2017,14600,Semi-Auto,18626,Diesel,125,57.6,1.7
 I40,2015,8700,Manual,31979,Diesel,30,65.7,1.7
 Tucson,2017,13000,Manual,26685,Diesel,30,61.7,1.7
 I10,2018,7100,Manual,35000,Petrol,145,60.1,1.0
 I10,2016,7500,Manual,6000,Petrol,20,57.6,1.2
 Tucson,2017,12000,Manual,17059,Diesel,30,61.7,1.7
 Tucson,2017,11695,Manual,49174,Petrol,145,44.8,1.6
 I20,2015,7995,Manual,6413,Petrol,30,55.4,1.2
 Tucson,2015,10700,Manual,34177,Diesel,30,61.7,1.7
 I10,2016,8100,Manual,7447,Petrol,30,57.6,1.2
 IX35,2013,8200,Manual,34500,Diesel,145,53.3,1.7
 I10,2016,6600,Manual,16751,Petrol,30,57.6,1.2
 Tucson,2018,13900,Manual,16265,Petrol,150,44.8,1.6
 Tucson,2018,13700,Manual,19087,Petrol,145,44.8,1.6
 I30,2017,8300,Manual,38206,Diesel,145,78.4,1.6
 Tucson,2016,15800,Automatic,20025,Diesel,125,57.6,1.7
 Ioniq,2018,15000,Automatic,32227,Hybrid,135,78.5,1.6
 Tucson,2015,15200,Automatic,28904,Diesel,200,46.3,0.0
 I10,2014,7700,Automatic,8646,Petrol,160,45.6,0.0
 I30,2017,10500,Automatic,17663,Diesel,20,72.4,0.0
 I20,2017,11400,Automatic,12661,Petrol,145,44.1,0.0
 Kona,2018,12995,Manual,7359,Petrol,145,52.3,1.0
 Tucson,2019,18000,Manual,4353,Petrol,145,35.3,1.6
 I10,2018,9000,Manual,7126,Petrol,145,60.1,0.0
 Veloster,2014,8300,Manual,36324,Petrol,160,43.5,1.6
 I10,2018,8500,Manual,12948,Petrol,145,60.1,0.0
 I30,2019,14500,Manual,2481,Petrol,145,41.5,0.0
 Tucson,2016,13800,Manual,27311,Diesel,30,61.7,0.0
 I30,2016,9000,Manual,34443,Diesel,0,78.4,0.0
 Tucson,2017,13800,Manual,16961,Diesel,30,61.7,0.0
 Tucson,2017,14100,Manual,5067,Petrol,145,44.8,1.6
 I10,2013,5000,Manual,45230,Petrol,20,61.4,0.0
 I10,2018,10300,Manual,6349,Petrol,145,57.6,0.0
 I40,2015,11500,Manual,13268,Diesel,30,65.7,0.0
 I30,2016,9000,Manual,29610,Diesel,0,78.4,0.0
 IX35,2015,11400,Manual,23041,Diesel,165,51.4,0.0
 I20,2017,10000,Manual,21821,Petrol,145,61.4,0.0
 I10,2018,7800,Manual,17397,Petrol,150,60.1,0.0
 I10,2016,6300,Manual,31854,Petrol,20,60.1,0.0
 Tucson,2016,11300,Manual,37993,Diesel,30,61.7,0.0
 I800,2018,15500,Manual,30305,Diesel,145,31.7,0.0
 I20,2018,11700,Manual,3920,Petrol,150,46.3,0.0
 Tucson,2017,16800,Manual,21875,Petrol,145,38.7,1.6
 I10,2016,6500,Manual,27465,Petrol,20,60.1,1.0
 I10,2019,8600,Manual,4920,Petrol,145,60.1,1.0
 I30,2016,9400,Manual,18577,Petrol,145,48.7,1.4
 IX20,2013,6000,Manual,42320,Petrol,145,45.6,1.4
 Tucson,2017,15000,Manual,23310,Diesel,30,61.7,0.0
 Tucson,2019,15000,Manual,22397,Petrol,150,34.9,0.0
 Tucson,2019,16300,Manual,10066,Petrol,150,34.9,0.0
 I10,2018,8300,Manual,13148,Petrol,150,60.1,0.0
 I800,2019,18500,Manual,7691,Diesel,150,31.7,0.0
 Tucson,2016,12300,Manual,21898,Diesel,30,61.7,1.7
 I10,2016,6500,Manual,24740,Petrol,20,60.1,1.0
 I10,2014,5500,Manual,20127,Petrol,20,60.1,1.0
 I800,2018,15299,Automatic,34103,Diesel,145,33.6,2.5
